0,a,141
0,b,173
0,c,198
0,d,111
0,e,72
0,f,136
0,g,115
0,h,69
0,i,34
0,j,20
0,k,20
0,l,88
0,m,107
0,n,37
0,o,41
0,p,142
0,q,23
0,r,105
0,s,366
0,t,149
0,u,33
0,v,43
0,w,83
0,y,6
0,z,3
1,b,16
1,c,40
1,d,20
1,f,8
1,g,12
1,h,144
1,i,202
1,l,201
1,m,38
1,n,87
1,o,279
1,p,61
1,r,267
1,s,16
1,t,77
1,u,186
1,v,15
1,w,44
1,x,14
1,z,2
1,a,304
1,e,242
1,y,23
1,j,2
1,k,10
1,q,5
2,a,307
2,b,57
2,h,9
2,i,266
2,l,112
2,o,244
2,u,165
2,y,29
2,r,163
2,t,111
2,e,177
2,m,61
2,f,25
2,d,75
2,s,80
2,g,67
2,p,58
2,k,12
2,n,139
2,v,49
2,c,56
2,w,26
2,z,11
2,x,12
2,j,3
2,q,1
3,c,152
3,s,171
3,t,139
3,e,318
3,o,132
3,d,69
3,r,152
3,u,82
3,v,46
3,i,158
3,g,76
3,p,50
3,b,24
3,l,162
3,n,182
3,a,163
3,k,55
3,f,35
3,h,28
3,z,20
3,m,68
3,j,2
3,w,25
3,x,3
3,y,3
4,k,113
4,e,424
4,y,364
4,t,253
4,r,212
4,d,118
4,s,36
4,n,130
4,x,8
4,l,156
4,g,41
4,w,17
4,a,64
4,m,42
4,i,11
4,f,26
4,c,31
4,o,58
4,h,139
4,u,1
4,p,56
4,z,4
4,b,11
5,a,979
5,b,281
5,c,477
5,k,210
5,s,669
5,e,1233
5,t,729
5,y,425
5,o,754
5,h,389
5,r,899
5,i,671
5,d,393
5,l,719
5,u,467
5,v,153
5,n,575
5,g,311
5,p,367
5,m,316
5,f,230
5,x,37
5,w,195
5,z,40
5,j,27
5,q,29
